id,name,surname,phone,active
1,אוריה,פרידמן,0541234567,True
2,משה,פרידמן,0541234567,True
3,יהודה,פרידמן,0541234567,True
4,דוד,פרידמן,0541234567,True
5,איתמר,פרידמן,0541234567,True
6,אלי,משה,0533339999,True
7,יויו,אוחנה,0544444444,True
8,יוסי,כהן,0527124312,True
9,אלי,בר-זאב,05234124124,True
10,שירה,לוי,0501112222,True
11,רועי,שפירא,0542223333,True
12,נועה,פפו,0523334444,True
13,נדב,ארז,0545556666,True
14,תמר,גרנות,0507778888,True
15,אביב,קפלן,0528889999,True
16,מיכל,שטיין,0549990000,True
17,עומר,גיל,0501010101,True
18,ליאור,בן דוד,0522020202,True
19,הילה,חורש,0543030303,True
20,דניאל,כץ,0504040404,True
21,מאיה,הלוי,0525050505,True
22,אורי,רוזן,0546060606,True
23,שני,מלכה,0507070707,True
24,אמיר,זוהר,0528080808,True
25,יעל,אברהם,0549090909,True
26,גיל,אדלר,0501212121,True
27,רעות,ברק,0523434343,True
28,ירון,וייס,0545656565,True
29,מורן,זמיר,0507878787,True
30,אדם,אורן,0529090909,True
31,נעמה,חיים,0541313131,True
32,רון,שבתאי,0502424242,True
33,גל,לבנון,0523535353,True
34,אלה,קירשנבאום,0544646464,True
35,אוריאל,שחר,0505757575,True
36,לינוי,רובין,0526868686,True
37,יותם,פלח,0547979797,True
38,בר,אטיה,0508181818,True
39,שקד,לוין,0529292929,True
40,מתן,לוי,0541414141,True
41,סהר,ביטון,0502525252,True
42,אורטל,גולן,0523636363,True
43,אלירן,ששון,0544747474,True
44,כפיר,בן ארויה,0505858585,True
45,אופיר,וולף,0526969696,True
46,תום,קרוואני,0547070707,True
47,רז,אליאס,0508181818,True
48,יובל,כהן,0529292929,True
49,טל,לזר,0541515151,True
50,דני,אלון,0502626262,True
51,נירית,סילבר,0523737373,True
52,גילעד,רוזנברג,0544848484,True
53,אלישע,ברכה,0505959595,True
54,יסמין,שמעון,0527070707,True
55,אורין,קליין,0548181818,True
56,בן,יצחק,0509292929,True
57,שירה,דוד,0521010101,True
58,הראל,ישראל,0542121212,True
59,יובל,מזרחי,0503232323,True
60,שירן,פדידה,0524343434,True
61,דניאלה,בן חמו,0545454545,True
62,נועם,אליהו,0506565656,True
63,איתי,ארצי,0527676767,True
64,מיטל,פנקס,0548787878,True
65,גלעד,מור,0509898989,True
66,אלה,פרץ,0521919191,True
67,אופק,צוריאל,0543030303,True
68,זוהר,וולקוביץ,0504141414,True
69,ליאור,ממן,0525252525,True
70,הדר,רוזנצוויג,0546363636,True
71,אופק,ימיני,0507474747,True
72,שיר,שמואלי,0528585858,True
73,אייל,אטיאס,0549696969,True
74,נויה,אזולאי,0501717171,True
75,אריאל,בכר,0522828282,True
76,רוני,חורי,0543939393,True
77,עדי,גורן,0505050505,True
78,אביטל,בר נתן,0526161616,True
79,איתמר,יפרח,0547272727,True
80,נופר,שטרית,0508383838,True
81,בנימין,בוזגלו,0529494949,True
82,מאי,לוי,0541515151,True
83,אור,שמעוני,0502626262,True
84,דורין,סלומון,0523737373,True
85,אריאל,צור,0544848484,True
86,לירון,פלג,0505959595,True
87,עידו,רוטמן,0527070707,True
88,נופר,גבע,0548181818,True
89,שקד,ששון,0509292929,True
90,תום,קדוש,0521010101,True
91,עומר,יעקב,0542121212,True
92,דנה,קריספין,0503232323,True
93,ליהי,אוחיון,0524343434,True
94,דוד,סופר,0545454545,True
95,עמית,אזולאי,0506565656,True
96,שי,ברקוביץ,0527676767,True
97,הילה,צמח,0548787878,True
98,איתי,קובלסקי,0509898989,True
99,יובל,פאר,0521919191,True
100,ירין,שמעון,0543030303,True
101,שירה,ביטון,0504141414,True
102,אופק,בן חיים,0525252525,True
103,נועה,לוינגר,0546363636,True
104,טל,בן עמי,0507474747,True
105,נדב,שגב,0528585858,True
106,ליאור,וייס,0549696969,True
107,רון,שחר,0501717171,True
108,אורית,אברהם,0522828282,True
109,שיר,אוזן,0543939393,True
110,אלינה,לוי,0505050505,True
111,גיל,מלכה,0526161616,True
112,רוני,חנן,0547272727,True
113,עמית,כהן,0508383838,True
114,ניב,בן דוד,0529494949,True
115,הילה,לוי,0541515151,True
116,עידו,פרידמן,0502626262,True
117,איתמר,ישראל,0523737373,True
118,רועי,דוד,0544848484,True
119,אופיר,מזרחי,0505959595,True
120,לינוי,פדידה,0527070707,True
121,אוראל,בן חמו,0548181818,True
122,שירה,אליהו,0509292929,True
123,משה,ארצי,0521010101,True
124,יהודה,פנקס,0542121212,True
125,דוד,מור,0503232323,True
126,איתמר,פרץ,0524343434,True
127,אלי,צוריאל,0545454545,True
128,יויו,וולקוביץ,0506565656,True
129,יוסי,ממן,0527676767,True
130,אלי,רוזנצוויג,0548787878,True
131,אוריה,ימיני,0509898989,True
132,משה,שמואלי,0521919191,True
133,יהודה,אטיאס,0543030303,True
134,דוד,אזולאי,0504141414,True
135,איתמר,בכר,0525252525,True
136,אלי,חורי,0546363636,True
137,יויו,גורן,0507474747,True
138,יוסי,בר נתן,0528585858,True
139,אלי,יפרח,0549696969,True
140,שירה,שטרית,0501717171,True
141,רועי,בוזגלו,0522828282,True
142,נועה,לוי,0543939393,True
143,נדב,שמעוני,0505050505,True
144,תמר,סלומון,0526161616,True
145,אביב,צור,0547272727,True
146,מיכל,פלג,0508383838,True
147,עומר,רוטמן,0529494949,True
148,ליאור,גבע,0541515151,True
149,הילה,ששון,0502626262,True
150,דניאל,קדוש,0523737373,True
151,פלוני,אלמוני,0542119988,True
152,פלונית,אלמוני,0542119933,True
